"TOTAL","UNION_NAME","F_NUM","DESIG_DESC","DESIG_NUM","DESIG_NAME","STREET_ADR","BUILD_NUM","CITY","STATE","ZIP","ADMINISTRATION","YR_COVERED","RPT_ID","REPRESENTATIONAL","POLITICAL","CONTRIBUTIONS","GENERAL_OVERHEAD","UNION_ADMINISTRATION","WITHHELD","MEMBERS","SUPPLIES","FEES","UNION_ADMINISTRATION","DIRECT_TAXES","STRIKE_BENEFITS","PER_CAPITA_TAX","TO_OFFICERS","INVESTMENTS","BENEFITS","LOANS_MADE","LOANS_PAYMENT","AFFILIATES","TO_EMPLOYEES","SOURCE","LESS_TOTAL_DISBURSED","WITHHELD_NOT_DISBURSED","FORM_TYPE","OFF_ADMIN_EXPENSE","EDU_PUB_EXPENSE","PRO_FEES","OTHER_DISBURSEMENTS"
"5745810","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","0","NHQ","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","","2009","413845","2049686","276313","17342","774731","749971","562145","0","8890","0","749971","216399","0","0","260529","240473","1391470","20327","0","0","2786112","F","562353","-208","LM-2","0","","0","0"
"6889136","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","0","NHQ","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","","2008","367896","2138153","370299","3818","762069","669584","550133","0","13234","0","669584","201452","29600","0","268579","483560","2186146","31356","0","0","2767830","F","549998","135","LM-2","0","","0","0"
"5780180","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","0","NHQ","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","","2007","334873","1737542","285411","4824","763917","731428","527865","0","11118","0","731428","206870","4000","0","250287","868219","1136335","30589","0","0","2642894","F","527792","73","LM-2","0","","0","0"
"5388771","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","0","NHQ","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","","2006","299464","1609589","372943","607","715186","700517","507767","0","60580","0","700517","209768","67600","0","288930","590779","1035283","25919","0","0","2432276","F","507767","0","LM-2","0","","0","0"
"4860123","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","0","NHQ","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","","2005","249327","1872322","269053","11165","770332","518882","493158","0","6971","0","518882","202778","6800","0","236099","250036","889929","61855","0","0","2365375","F","493158","0","LM-2","0","","0","0"
"5471964","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ  ","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","","2013","535757","1959000","258081","0","729655","608688","492706","0","2802","0","608688","187543","0","0","246683","0","1699871","26324","0","0","1960517","F","492706","","LM-2","","","",""
"5703731","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ  ","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","","2012","529401","1896374","305332","0","790591","789186","362178","0","0","0","789186","195784","0","0","275385","0","1695285","31179","","0","2478855","F","362178","","LM-2","","","",""
"5494770","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ  ","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","","2011","470439","1885720","384737","0","696062","704223","363211","0","0","0","704223","212887","0","0","260059","0","1578115","33026","","0","2651674","F","363211","","LM-2","","","",""
"5280382","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ  ","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","","2010","469702","1787944","366277","0","652438","711999","327953","0","25696","0","711999","198736","9000","0","261421","13","1462297","65982","","0","2478009","F","327953","","LM-2","","","",""
"5190058","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","","2004","214612","","","7500","","","473973","0","7443","0","","191098","","0","159083","786717","853716","22983","0","0","1782355","T","","","LM-2","341923","384489","90320","88458"
"6378164","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","","2003","186988","","","21386","","","514245","0","40896","0","","192488","","0","151632","1658105","696148","33032","0","0","1937511","T","","","LM-2","427228","520737","17498","167258"
"7257509","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","","2002","136923","","","17356","","","556057","0","0","0","","205532","","0","155706","2444734","759536","37150","0","0","2031588","T","","","LM-2","457754","393457","50364","148275"
"5986033","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","","2001","105845","","","17507","","","596771","","35756","","","214876","","","148656","1160495","562585","23119","","","2117185","T","","","LM-2","446937","530070","26724","105352"
"6102571","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ","","ONE GATEWAY CENTER RM 1400","PITTSBURGH","PA","152221416","","2000","75779","","","18630","","","579483","","30820","","","210537","","","163410","1228653","566468","17808","","","2071689","T","","","LM-2","488172","542400","50791","133710"
"5922738","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ  ","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","","2018","711008","2270706","190078","10154","669759","444089","329059","0","9852","0","444089","180794","0","0","295394","660","1974842","171804","0","0","1909308","F","329059","","LM-2","","","",""
"5643242","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ  ","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","","2017","680197","1872446","102272","6317","639108","540768","290727","0","8703","0","540768","152004","0","0","308609","16739","2178066","126819","","0","1648484","F","290727","","LM-2","","","",""
"5825409","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ  ","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","","2016","632334","1888944","213338","5479","717501","517113","437684","0","23200","0","517113","176940","0","0","309678","26829","2209338","46727","","0","1794118","F","437684","","LM-2","","","",""
"6394704","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ  ","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","","2015","599280","1961294","261946","632","904824","607789","504597","0","3335","0","607789","201878","6000","0","252406","419999","2011722","15285","0","0","2042767","F","504597","","LM-2","","","",""
"6949493","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","","NHQ  ","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","","2014","562793","2463994","218113","0","860108","566447","363895","0","0","0","566447","200975","0","0","252289","1012491","1599768","27597","","0","2283944","F","363895","","LM-2","","","",""
