"UNION_NAME","F_NUM","DESIG_DESC","DESIG_NAME","DESIG_NUM","FORM_TYPE","STREET_ADR","BUILD_NUM","CITY","STATE","ZIP","YR_COVERED","RPT_ID","DUES","TAX","FEES","SALE","INTEREST","DIVIDENDS","RENTS","INVESTMENTS","LOANS_OBTAINED","LOANS_PAYMENT","AFFILIATES","MEMBERS","OTHER","TOTAL","SOURCE"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","0","LM-2","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2005","249327","716","3148607","150","17928","237272","123002","0","703691","0","20768","0","0","200922","4453056","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","0","LM-2","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2006","299464","617","3537166","0","28215","266509","94033","0","1006004","0","58164","0","0","212142","5202850","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","0","LM-2","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2007","334873","652","3872967","0","21159","293676","66790","0","1014630","0","27884","0","0","210823","5508581","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","0","LM-2","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2008","367896","715","3999131","0","29032","238665","80612","0","2605807","0","51508","0","0","331776","7337246","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","0","LM-2","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2009","413845","1065","4079969","0","21546","167411","45602","0","348280","0","28736","0","0","333343","5025952","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","","LM-2","","ONE GATEWAY CENTER RM 1400","PITTSBURGH","PA","152221416","2000","75779","189","2318269","150","21952","558717","355657","","1827159","","31355","","","158425","5271873","T"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","","LM-2","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2001","105845","199","2348134","100","18508","577321","527392","","3810695","","22307","","","308161","7612817","T"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","","LM-2","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2002","136923","545","2511617","100","18996","472590","230907","0","2412717","0","26071","0","0","218453","5891996","T"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","","LM-2","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2003","186988","699","2616944","50","19963","313273","217438","0","4207908","0","39200","0","0","434382","7849857","T"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","","LM-2","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2004","214612","446","2770353","150","24039","245916","206738","0","1645747","0","25331","0","0","189532","5108252","T"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","LM-2","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2010","469702","1180","3883592","0","7824","132435","16488","0","487935","","41445","0","0","294630","4865529","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","LM-2","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2011","470439","1323","4025691","0","22986","98269","16420","0","276498","","61231","0","0","754710","5257128","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","LM-2","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2012","529401","1431","4720918","0","26970","82831","31160","0","492945","","27015","0","0","369003","5752273","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","LM-2","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2013","535757","2048","4848317","1223","13945","67872","34807","0","0","0","31866","0","0","678123","5678201","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","LM-2","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2014","562793","1277","4922195","0","21526","65438","44854","0","1166838","","50549","0","0","553844","6826521","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","LM-2","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2015","599280","2826","5062204","4374","16266","65018","53240","0","754679","0","19368","0","0","435635","6413610","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","LM-2","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2016","632334","6653","5034976","25078","14605","56706","28428","0","250000","","15395","0","0","381421","5813262","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","LM-2","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2017","680197","9061","4569678","9464","13512","45487","20782","0","561844","","45590","0","0","339699","5615117","F"
"ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","LM-2","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2018","711008","27643","4353852","8685","9359","26285","1646","0","990415","0","172760","0","0","400944","5991589","F"
